device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,0,57.200,35879285460,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879285460,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879285460,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879285460,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879285460,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879285460,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879285460,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879285460,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879291405,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879297176,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879297176,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879297176,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879297176,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879297176,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879297176,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879297176,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879297176,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879297176,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879297176,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879297176,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879297176,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879297176,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879297176,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879297176,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879297176,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879297176,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879297176,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879297176,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879297176,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.015,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879302932,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,2,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879308732,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879314457,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35879314457,0,0,0.000,0.000,0.000,0.000,
