device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,2,59.692,35105794359,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105794359,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105794359,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105794359,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105794359,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105794359,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105794359,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105794359,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105794359,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105794359,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105794359,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105794359,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105794359,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105794359,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105794359,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105794359,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105800377,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105806394,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105812401,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105818417,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105824495,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105824495,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105824495,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105824495,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105824495,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105824495,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105824495,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105824495,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105824495,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105824495,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105824495,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105824495,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105824495,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105824495,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105824495,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105824495,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105824495,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105824495,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105824495,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105824495,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105824495,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105824495,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105824495,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105824495,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105824495,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105824495,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105824495,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105824495,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105824495,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105824495,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.692,35105824495,0,0,0.000,0.000,0.000,0.000,
