device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,3,59.711,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325014805,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325020704,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325026707,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325032700,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.711,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325038731,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325045014,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325045014,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325045014,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325045014,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325045014,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325045014,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325045014,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325045014,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325045014,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325045014,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325045014,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325045014,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325045014,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325045014,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325045014,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325045014,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325045014,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325045014,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.487,39325045014,0,0,0.000,0.000,0.000,0.000,
