device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,0,57.200,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792323467,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792329180,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792334959,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792340723,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792346503,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35792346503,0,0,0.000,0.000,0.000,0.000,
