device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,0,57.200,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782184259,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782190030,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782195769,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782201588,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782207283,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.200,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782213061,0,0,0.000,0.000,0.000,0.000,
GPU,0,57.266,35782213061,0,0,0.000,0.000,0.000,0.000,
