device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,1,61.102,29381594733,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381594733,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381594733,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381594733,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381594733,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381594733,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381594733,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381594733,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381594733,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381594733,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381594733,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381594733,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381594733,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381594733,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381594733,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381594733,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381594733,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381594733,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381600865,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381607003,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381613157,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381619298,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381625442,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381625442,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381625442,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381625442,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381625442,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381625442,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381625442,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381625442,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381625442,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381625442,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381625442,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381625442,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381625442,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381625442,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381625442,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381625442,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381625442,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381625442,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381625442,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381625442,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381625442,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381625442,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381625442,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381625442,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381625442,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381625442,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381625442,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381625442,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381625442,0,0,0.000,0.000,0.000,0.000,
GPU,1,61.102,29381625442,0,0,0.000,0.000,0.000,0.000,
