device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,1,56.852,32593241588,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593241588,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593241588,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593241588,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593241588,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593241588,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593241588,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593241588,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593241588,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593241588,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593241588,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593241588,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593241588,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593241588,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593241588,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593241588,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593241588,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593241588,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593241588,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593241588,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593241588,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593241588,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593241588,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593241588,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593247503,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593247503,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593253228,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593258958,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593258958,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593258958,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,1,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593258958,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.787,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593264704,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593270409,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593270409,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593270409,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593270409,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593270409,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593270409,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593270409,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593270409,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593270409,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593270409,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593270409,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593270409,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593270409,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593270409,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593270409,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593270409,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593270409,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593270409,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593270409,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593270409,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593270409,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593270409,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593270409,0,0,0.000,0.000,0.000,0.000,
GPU,1,56.852,32593270409,0,0,0.000,0.000,0.000,0.000,
