device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695846940,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695852937,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695858935,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.441,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.692,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.692,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.692,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.692,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.692,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.692,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.692,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.692,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.692,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.692,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.692,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.692,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.692,33695865080,0,0,0.004,0.001,0.000,0.000,
GPU,3,59.692,33695865080,0,0,0.004,0.001,0.000,0.000,
