device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699881359,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,8,4,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699887341,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699893327,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699899310,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699905301,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699911285,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699911285,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699911285,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699911285,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699911285,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699911285,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699911285,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699911285,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699911285,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699911285,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699911285,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699911285,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699911285,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699911285,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699911285,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699911285,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699911285,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699911285,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699911285,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699911285,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699911285,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699911285,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699911285,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699911285,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699911285,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699911285,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699911285,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699911285,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699911285,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699911285,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699911285,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.441,33699911285,0,0,0.000,0.000,0.000,0.000,
