device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609504393,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609510363,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609516331,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609522295,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609528256,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609534219,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609534219,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609534219,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609534219,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609534219,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609534219,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609534219,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609534219,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609534219,0,0,0.000,0.000,0.000,0.000,
