device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,3,59.230,10609974459,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609974459,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609974459,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609974459,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609974459,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609974459,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609974459,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609974459,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609974459,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609974459,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609974459,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609974459,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609974459,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609974459,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609974459,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609974459,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609974459,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609974459,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609974459,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609974459,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609974459,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609974459,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609974459,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609974459,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609974459,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609974459,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609974459,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609974459,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609974459,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609974459,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609974459,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609974459,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609974459,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609974459,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609974459,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609974459,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609980427,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.298,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609986350,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609992306,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10609998303,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10610004231,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10610004231,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10610004231,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10610004231,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10610004231,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10610004231,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10610004231,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10610004231,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10610004231,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10610004231,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10610004231,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10610004231,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10610004231,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10610004231,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10610004231,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10610004231,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10610004231,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10610004231,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10610004231,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10610004231,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10610004231,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10610004231,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10610004231,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10610004231,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10610004231,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10610004231,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10610004231,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10610004231,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10610004231,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10610004231,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10610004231,0,0,0.000,0.000,0.000,0.000,
GPU,3,59.230,10610004231,0,0,0.000,0.000,0.000,0.000,
