device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,0,58.722,10773446203,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773446203,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773446203,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773446203,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773446203,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773446203,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773446203,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773446203,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773446203,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773446203,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773446203,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773446203,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773446203,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773446203,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773446203,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773446203,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773446203,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773446203,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773446203,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773446203,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773446203,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773446203,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773446203,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773452072,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773458005,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773463906,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773469816,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773475734,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773475734,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773475734,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773475734,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773475734,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773475734,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.722,10773475734,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773475734,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773475734,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773475734,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773475734,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773475734,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773475734,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773475734,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773475734,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773475734,0,0,0.000,0.000,0.000,0.000,
GPU,0,58.654,10773475734,0,0,0.000,0.000,0.000,0.000,
