device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,2,59.747,10838389143,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.747,10838389143,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.747,10838389143,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.747,10838389143,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.747,10838389143,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.747,10838389143,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.747,10838389143,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.747,10838389143,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.747,10838389143,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.747,10838389143,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.747,10838389143,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.747,10838389143,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.747,10838389143,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.747,10838389143,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.747,10838389143,0,0,0.000,0.000,0.000,0.000,
GPU,2,59.678,10838455923,2,0,0.001,0.001,0.004,0.000,
GPU,2,59.678,10838455923,2,0,0.001,0.001,0.004,0.000,
GPU,2,59.678,10838455923,2,0,0.001,0.001,0.004,0.000,
GPU,2,59.678,10838455923,2,0,0.001,0.001,0.004,0.000,
GPU,2,59.678,10838455923,2,0,0.001,0.001,0.004,0.000,
GPU,2,59.678,10838455923,2,0,0.001,0.001,0.004,0.000,
GPU,2,59.678,10838455923,2,0,0.001,0.001,0.004,0.000,
GPU,2,59.678,10838455923,2,0,0.001,0.001,0.004,0.000,
GPU,2,59.678,10838455923,2,0,0.001,0.001,0.004,0.000,
GPU,2,59.678,10838455923,2,0,0.001,0.001,0.004,0.000,
GPU,2,59.678,10838455923,2,0,0.001,0.001,0.004,0.000,
GPU,2,59.678,10838455923,2,0,0.001,0.001,0.004,0.000,
GPU,2,59.678,10838455923,2,0,0.001,0.001,0.004,0.000,
GPU,2,59.678,10838455923,2,0,0.001,0.001,0.004,0.000,
GPU,2,59.678,10838455923,2,0,0.001,0.001,0.004,0.000,
GPU,2,59.678,10838455923,2,0,0.001,0.001,0.004,0.000,
GPU,2,59.678,10838455923,2,0,0.001,0.001,0.004,0.000,
GPU,2,59.678,10838455923,2,0,0.001,0.001,0.004,0.000,
GPU,2,59.678,10838455923,2,0,0.001,0.001,0.004,0.000,
GPU,2,59.678,10838455923,2,0,0.001,0.001,0.004,0.000,
GPU,2,59.678,10838455923,2,0,0.001,0.001,0.004,0.000,
GPU,2,59.678,10838455923,2,0,0.001,0.001,0.004,0.000,
GPU,2,59.678,10838455923,2,0,0.001,0.001,0.004,0.000,
GPU,2,59.678,10838455923,2,0,0.001,0.001,0.004,0.000,
GPU,2,59.678,10838455923,2,0,0.001,0.001,0.004,0.000,
GPU,2,59.678,10838455923,2,0,0.001,0.001,0.004,0.000,
GPU,2,59.678,10838455923,2,0,0.001,0.001,0.004,0.000,
