device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,3,57.848,32606472797,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606472797,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606472797,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606472797,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606472797,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606472797,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606478622,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606484448,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606490281,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606496102,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606501940,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606501940,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606501940,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32606501940,0,0,0.000,0.000,0.000,0.000,
