device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,3,58.098,32618606239,30,0,0.000,0.000,0.002,0.000,
GPU,3,58.098,32618606239,30,0,0.000,0.000,0.002,0.000,
GPU,3,58.098,32618606239,30,0,0.000,0.000,0.002,0.000,
GPU,3,58.098,32618606239,30,0,0.000,0.000,0.002,0.000,
GPU,3,58.098,32618606239,30,0,0.000,0.000,0.002,0.000,
GPU,3,58.098,32618606239,30,0,0.000,0.000,0.002,0.000,
GPU,3,58.098,32618606239,30,0,0.000,0.000,0.002,0.000,
GPU,3,58.098,32618606239,30,0,0.000,0.000,0.002,0.000,
GPU,3,58.098,32618606239,30,0,0.000,0.000,0.002,0.000,
GPU,3,58.098,32618606239,30,0,0.000,0.000,0.002,0.000,
GPU,3,58.098,32618606239,30,0,0.000,0.000,0.002,0.000,
GPU,3,58.098,32618606239,30,0,0.000,0.000,0.002,0.000,
GPU,3,58.098,32618606239,30,0,0.000,0.000,0.002,0.000,
GPU,3,58.098,32618606239,30,0,0.000,0.000,0.002,0.000,
GPU,3,58.098,32618606239,30,0,0.000,0.000,0.002,0.000,
GPU,3,58.098,32618606239,30,0,0.000,0.000,0.002,0.000,
GPU,3,58.098,32618606239,30,0,0.000,0.000,0.002,0.000,
GPU,3,58.098,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,58.098,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,58.098,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,58.098,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,58.098,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,58.098,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,58.098,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,58.098,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,58.098,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,58.098,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,58.098,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,58.098,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618612086,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,30,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618617909,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618623751,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.002,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618629575,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618635438,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618635438,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618635438,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618635438,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618635438,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618635438,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618635438,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618635438,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618635438,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32618635438,0,0,0.000,0.000,0.000,0.000,
