device,ID,DCGM_FI_DEV_POWER_USAGE,DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,DCGM_FI_DEV_GPU_UTIL,DCGM_FI_DEV_MEM_COPY_UTIL,DCGM_FI_PROF_SM_ACTIVE,DCGM_FI_PROF_SM_OCCUPANCY,DCGM_FI_PROF_DRAM_ACTIVE,DCGM_FI_DEV_CPU_UTIL_TOTAL
GPU,3,57.848,32605879429,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605879429,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605879429,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605879429,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605879429,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605879429,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605879429,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605879429,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605879429,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605879429,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605879429,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605879429,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605879429,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605879429,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605879429,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605879429,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605879429,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605885283,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605891091,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605896902,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.914,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605902739,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605908564,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605908564,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605908564,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605908564,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605908564,0,0,0.000,0.000,0.000,0.000,
GPU,3,57.848,32605908564,0,0,0.000,0.000,0.000,0.000,
